Time,Status,Message,raceId
0 days 00:47:11.924000,2,Yellow,2018r1q
0 days 00:48:21.710000,1,AllClear,2018r1q
0 days 00:54:05.940000,2,Yellow,2018r1q
0 days 00:54:12.416000,5,Red,2018r1q
0 days 01:03:02.383000,1,AllClear,2018r1q
0 days 01:16:56.786000,2,Yellow,2018r1q
0 days 00:47:11.924000,2,Yellow,2018r2q
0 days 00:48:21.710000,1,AllClear,2018r2q
0 days 00:54:05.940000,2,Yellow,2018r2q
0 days 00:54:12.416000,5,Red,2018r2q
0 days 01:03:02.383000,1,AllClear,2018r2q
0 days 01:16:56.786000,2,Yellow,2018r2q
0 days 00:47:11.924000,2,Yellow,2018r3q
0 days 00:48:21.710000,1,AllClear,2018r3q
0 days 00:54:05.940000,2,Yellow,2018r3q
0 days 00:54:12.416000,5,Red,2018r3q
0 days 01:03:02.383000,1,AllClear,2018r3q
0 days 01:16:56.786000,2,Yellow,2018r3q
0 days 00:47:11.924000,2,Yellow,2018r4q
0 days 00:48:21.710000,1,AllClear,2018r4q
0 days 00:54:05.940000,2,Yellow,2018r4q
0 days 00:54:12.416000,5,Red,2018r4q
0 days 01:03:02.383000,1,AllClear,2018r4q
0 days 01:16:56.786000,2,Yellow,2018r4q
0 days 00:47:11.924000,2,Yellow,2018r5q
0 days 00:48:21.710000,1,AllClear,2018r5q
0 days 00:54:05.940000,2,Yellow,2018r5q
0 days 00:54:12.416000,5,Red,2018r5q
0 days 01:03:02.383000,1,AllClear,2018r5q
0 days 01:16:56.786000,2,Yellow,2018r5q
0 days 00:47:11.924000,2,Yellow,2018r6q
0 days 00:48:21.710000,1,AllClear,2018r6q
0 days 00:54:05.940000,2,Yellow,2018r6q
0 days 00:54:12.416000,5,Red,2018r6q
0 days 01:03:02.383000,1,AllClear,2018r6q
0 days 01:16:56.786000,2,Yellow,2018r6q
0 days 00:47:11.924000,2,Yellow,2018r7q
0 days 00:48:21.710000,1,AllClear,2018r7q
0 days 00:54:05.940000,2,Yellow,2018r7q
0 days 00:54:12.416000,5,Red,2018r7q
0 days 01:03:02.383000,1,AllClear,2018r7q
0 days 01:16:56.786000,2,Yellow,2018r7q
0 days 00:47:11.924000,2,Yellow,2018r8q
0 days 00:48:21.710000,1,AllClear,2018r8q
0 days 00:54:05.940000,2,Yellow,2018r8q
0 days 00:54:12.416000,5,Red,2018r8q
0 days 01:03:02.383000,1,AllClear,2018r8q
0 days 01:16:56.786000,2,Yellow,2018r8q
0 days 00:47:11.924000,2,Yellow,2018r9q
0 days 00:48:21.710000,1,AllClear,2018r9q
0 days 00:54:05.940000,2,Yellow,2018r9q
0 days 00:54:12.416000,5,Red,2018r9q
0 days 01:03:02.383000,1,AllClear,2018r9q
0 days 01:16:56.786000,2,Yellow,2018r9q
0 days 00:47:11.924000,2,Yellow,2018r10q
0 days 00:48:21.710000,1,AllClear,2018r10q
0 days 00:54:05.940000,2,Yellow,2018r10q
0 days 00:54:12.416000,5,Red,2018r10q
0 days 01:03:02.383000,1,AllClear,2018r10q
0 days 01:16:56.786000,2,Yellow,2018r10q
0 days 00:47:11.924000,2,Yellow,2018r11q
0 days 00:48:21.710000,1,AllClear,2018r11q
0 days 00:54:05.940000,2,Yellow,2018r11q
0 days 00:54:12.416000,5,Red,2018r11q
0 days 01:03:02.383000,1,AllClear,2018r11q
0 days 01:16:56.786000,2,Yellow,2018r11q
0 days 00:47:11.924000,2,Yellow,2018r12q
0 days 00:48:21.710000,1,AllClear,2018r12q
0 days 00:54:05.940000,2,Yellow,2018r12q
0 days 00:54:12.416000,5,Red,2018r12q
0 days 01:03:02.383000,1,AllClear,2018r12q
0 days 01:16:56.786000,2,Yellow,2018r12q
0 days 00:47:11.924000,2,Yellow,2018r13q
0 days 00:48:21.710000,1,AllClear,2018r13q
0 days 00:54:05.940000,2,Yellow,2018r13q
0 days 00:54:12.416000,5,Red,2018r13q
0 days 01:03:02.383000,1,AllClear,2018r13q
0 days 01:16:56.786000,2,Yellow,2018r13q
0 days 00:47:11.924000,2,Yellow,2018r14q
0 days 00:48:21.710000,1,AllClear,2018r14q
0 days 00:54:05.940000,2,Yellow,2018r14q
0 days 00:54:12.416000,5,Red,2018r14q
0 days 01:03:02.383000,1,AllClear,2018r14q
0 days 01:16:56.786000,2,Yellow,2018r14q
0 days 00:47:11.924000,2,Yellow,2018r15q
0 days 00:48:21.710000,1,AllClear,2018r15q
0 days 00:54:05.940000,2,Yellow,2018r15q
0 days 00:54:12.416000,5,Red,2018r15q
0 days 01:03:02.383000,1,AllClear,2018r15q
0 days 01:16:56.786000,2,Yellow,2018r15q
0 days 00:47:11.924000,2,Yellow,2018r16q
0 days 00:48:21.710000,1,AllClear,2018r16q
0 days 00:54:05.940000,2,Yellow,2018r16q
0 days 00:54:12.416000,5,Red,2018r16q
0 days 01:03:02.383000,1,AllClear,2018r16q
0 days 01:16:56.786000,2,Yellow,2018r16q
0 days 00:47:11.924000,2,Yellow,2018r17q
0 days 00:48:21.710000,1,AllClear,2018r17q
0 days 00:54:05.940000,2,Yellow,2018r17q
0 days 00:54:12.416000,5,Red,2018r17q
0 days 01:03:02.383000,1,AllClear,2018r17q
0 days 01:16:56.786000,2,Yellow,2018r17q
0 days 00:47:11.924000,2,Yellow,2018r18q
0 days 00:48:21.710000,1,AllClear,2018r18q
0 days 00:54:05.940000,2,Yellow,2018r18q
0 days 00:54:12.416000,5,Red,2018r18q
0 days 01:03:02.383000,1,AllClear,2018r18q
0 days 01:16:56.786000,2,Yellow,2018r18q
0 days 00:47:11.924000,2,Yellow,2018r19q
0 days 00:48:21.710000,1,AllClear,2018r19q
0 days 00:54:05.940000,2,Yellow,2018r19q
0 days 00:54:12.416000,5,Red,2018r19q
0 days 01:03:02.383000,1,AllClear,2018r19q
0 days 01:16:56.786000,2,Yellow,2018r19q
0 days 00:47:11.924000,2,Yellow,2018r20q
0 days 00:48:21.710000,1,AllClear,2018r20q
0 days 00:54:05.940000,2,Yellow,2018r20q
0 days 00:54:12.416000,5,Red,2018r20q
0 days 01:03:02.383000,1,AllClear,2018r20q
0 days 01:16:56.786000,2,Yellow,2018r20q
0 days 00:47:11.924000,2,Yellow,2018r21q
0 days 00:48:21.710000,1,AllClear,2018r21q
0 days 00:54:05.940000,2,Yellow,2018r21q
0 days 00:54:12.416000,5,Red,2018r21q
0 days 01:03:02.383000,1,AllClear,2018r21q
0 days 01:16:56.786000,2,Yellow,2018r21q
0 days 00:47:11.924000,2,Yellow,2018r22q
0 days 00:48:21.710000,1,AllClear,2018r22q
0 days 00:54:05.940000,2,Yellow,2018r22q
0 days 00:54:12.416000,5,Red,2018r22q
0 days 01:03:02.383000,1,AllClear,2018r22q
0 days 01:16:56.786000,2,Yellow,2018r22q
0 days 00:00:00,1,AllClear,2019r1q
0 days 00:36:27.399000,2,Yellow,2019r1q
0 days 00:37:00.734000,1,AllClear,2019r1q
0 days 00:00:00,1,AllClear,2019r2q
0 days 00:36:27.399000,2,Yellow,2019r2q
0 days 00:37:00.734000,1,AllClear,2019r2q
0 days 00:00:00,1,AllClear,2019r3q
0 days 00:36:27.399000,2,Yellow,2019r3q
0 days 00:37:00.734000,1,AllClear,2019r3q
0 days 00:00:00,1,AllClear,2019r4q
0 days 00:36:27.399000,2,Yellow,2019r4q
0 days 00:37:00.734000,1,AllClear,2019r4q
0 days 00:00:00,1,AllClear,2019r5q
0 days 00:36:27.399000,2,Yellow,2019r5q
0 days 00:37:00.734000,1,AllClear,2019r5q
0 days 00:00:00,1,AllClear,2019r6q
0 days 00:36:27.399000,2,Yellow,2019r6q
0 days 00:37:00.734000,1,AllClear,2019r6q
0 days 00:00:00,1,AllClear,2019r7q
0 days 00:36:27.399000,2,Yellow,2019r7q
0 days 00:37:00.734000,1,AllClear,2019r7q
0 days 00:00:00,1,AllClear,2019r8q
0 days 00:36:27.399000,2,Yellow,2019r8q
0 days 00:37:00.734000,1,AllClear,2019r8q
0 days 00:00:00,1,AllClear,2019r9q
0 days 00:36:27.399000,2,Yellow,2019r9q
0 days 00:37:00.734000,1,AllClear,2019r9q
0 days 00:00:00,1,AllClear,2019r10q
0 days 00:36:27.399000,2,Yellow,2019r10q
0 days 00:37:00.734000,1,AllClear,2019r10q
0 days 00:00:00,1,AllClear,2019r11q
0 days 00:36:27.399000,2,Yellow,2019r11q
0 days 00:37:00.734000,1,AllClear,2019r11q
0 days 00:00:00,1,AllClear,2019r12q
0 days 00:36:27.399000,2,Yellow,2019r12q
0 days 00:37:00.734000,1,AllClear,2019r12q
0 days 00:00:00,1,AllClear,2019r13q
0 days 00:36:27.399000,2,Yellow,2019r13q
0 days 00:37:00.734000,1,AllClear,2019r13q
0 days 00:00:00,1,AllClear,2019r14q
0 days 00:36:27.399000,2,Yellow,2019r14q
0 days 00:37:00.734000,1,AllClear,2019r14q
0 days 00:00:00,1,AllClear,2019r15q
0 days 00:36:27.399000,2,Yellow,2019r15q
0 days 00:37:00.734000,1,AllClear,2019r15q
0 days 00:00:00,1,AllClear,2019r16q
0 days 00:36:27.399000,2,Yellow,2019r16q
0 days 00:37:00.734000,1,AllClear,2019r16q
0 days 00:00:00,1,AllClear,2019r17q
0 days 00:36:27.399000,2,Yellow,2019r17q
0 days 00:37:00.734000,1,AllClear,2019r17q
0 days 00:00:00,1,AllClear,2019r18q
0 days 00:36:27.399000,2,Yellow,2019r18q
0 days 00:37:00.734000,1,AllClear,2019r18q
0 days 00:00:00,1,AllClear,2019r19q
0 days 00:36:27.399000,2,Yellow,2019r19q
0 days 00:37:00.734000,1,AllClear,2019r19q
0 days 00:00:00,1,AllClear,2019r20q
0 days 00:36:27.399000,2,Yellow,2019r20q
0 days 00:37:00.734000,1,AllClear,2019r20q
0 days 00:00:00,1,AllClear,2019r21q
0 days 00:36:27.399000,2,Yellow,2019r21q
0 days 00:37:00.734000,1,AllClear,2019r21q
0 days 00:00:00,1,AllClear,2019r22q
0 days 00:36:27.399000,2,Yellow,2019r22q
0 days 00:37:00.734000,1,AllClear,2019r22q
0 days 00:00:00,1,AllClear,2020r1q
0 days 00:53:38.249000,2,Yellow,2020r1q
0 days 00:53:39.746000,1,AllClear,2020r1q
0 days 01:13:47.725000,2,Yellow,2020r1q
0 days 01:14:41.270000,1,AllClear,2020r1q
0 days 00:00:00,1,AllClear,2020r7q
0 days 00:00:00,1,AllClear,2020r10q
0 days 00:00:00,1,AllClear,2020r11q
0 days 00:53:38.249000,2,Yellow,2020r11q
0 days 00:53:39.746000,1,AllClear,2020r11q
0 days 01:13:47.725000,2,Yellow,2020r11q
0 days 01:14:41.270000,1,AllClear,2020r11q
0 days 00:00:00,1,AllClear,2020r12q
0 days 00:53:38.249000,2,Yellow,2020r12q
0 days 00:53:39.746000,1,AllClear,2020r12q
0 days 01:13:47.725000,2,Yellow,2020r12q
0 days 01:14:41.270000,1,AllClear,2020r12q
0 days 00:00:00,1,AllClear,2020r13q
0 days 00:53:38.249000,2,Yellow,2020r13q
0 days 00:53:39.746000,1,AllClear,2020r13q
0 days 01:13:47.725000,2,Yellow,2020r13q
0 days 01:14:41.270000,1,AllClear,2020r13q
0 days 00:00:00,1,AllClear,2020r14q
0 days 00:53:38.249000,2,Yellow,2020r14q
0 days 00:53:39.746000,1,AllClear,2020r14q
0 days 01:13:47.725000,2,Yellow,2020r14q
0 days 01:14:41.270000,1,AllClear,2020r14q
0 days 00:00:00,1,AllClear,2020r15q
0 days 00:53:38.249000,2,Yellow,2020r15q
0 days 00:53:39.746000,1,AllClear,2020r15q
0 days 01:13:47.725000,2,Yellow,2020r15q
0 days 01:14:41.270000,1,AllClear,2020r15q
0 days 00:00:00,1,AllClear,2020r16q
0 days 00:53:38.249000,2,Yellow,2020r16q
0 days 00:53:39.746000,1,AllClear,2020r16q
0 days 01:13:47.725000,2,Yellow,2020r16q
0 days 01:14:41.270000,1,AllClear,2020r16q
0 days 00:00:00,1,AllClear,2020r17q
0 days 00:00:00,1,AllClear,2020r18q
0 days 00:53:38.249000,2,Yellow,2020r18q
0 days 00:53:39.746000,1,AllClear,2020r18q
0 days 01:13:47.725000,2,Yellow,2020r18q
0 days 01:14:41.270000,1,AllClear,2020r18q
0 days 00:00:00,1,AllClear,2020r19q
0 days 00:53:38.249000,2,Yellow,2020r19q
0 days 00:53:39.746000,1,AllClear,2020r19q
0 days 01:13:47.725000,2,Yellow,2020r19q
0 days 01:14:41.270000,1,AllClear,2020r19q
0 days 00:00:00,1,AllClear,2020r20q
0 days 00:00:00,1,AllClear,2020r21q
0 days 00:53:38.249000,2,Yellow,2020r21q
0 days 00:53:39.746000,1,AllClear,2020r21q
0 days 01:13:47.725000,2,Yellow,2020r21q
0 days 01:14:41.270000,1,AllClear,2020r21q
